,Address,Area,Baths,Beds,Price
981,"801 Crittenden St Nw, Washington, DC 20011","2,600 sqft",4,3,$979k
982,"1529 14th St Nw Apt 310, Washington, DC 20005",800 sqft,1.5,1,$580k
983,"3100 28th St Se, Washington, DC 20020","1,800 sqft",4,3,$374k
984,"1860 California St Nw Apt 301, Washington, DC 20009",650 sqft,1,1,$350k
985,"227 A St Ne, Washington, DC 20002","2,754 sqft",3,3,$1.35m
986,"4413 3rd St Nw, Washington, DC 20011","2,490 sqft",2,3,$599k
987,"3812 1st St Se, Washington, DC 20032","2,020 sqft",N/A,3,$249k
988,"2514 41st St Nw Apt 3, Washington, DC 20007",732 sqft,1,1,$390k
989,"1445 Madison St Nw, Washington, DC 20011",0.12 acres,5,5,$1.03m
990,"3328 Runnymede Pl Nw, Washington, DC 20015","2,936 sqft",2.75,4,$1.57m
991,"4022 Ely Pl Se, Washington, DC 20019","1,152 sqft",2.5,4,$465k
992,"809 E St Se, Washington, DC 20003","1,396 sqft",2,2,$850k
993,"4934 Indian Ln Nw, Washington, DC 20016","8,000 sqft",6.5,7,$7.45m
994,"42 Randolph Pl Nw, Washington, DC 20001","1,272 sqft",1.5,3,$725k
995,"445 Tennessee Ave Ne, Washington, DC 20002","1,590 sqft",3,3,$750k
996,"350 9th St Se Apt 17, Washington, DC 20003","1,161 sqft",2,2,$729k
997,"1659 34th St Nw, Washington, DC 20007","2,030 sqft",4,3,$1.40m
998,"1700 Kalorama Rd Nw Apt 501, Washington, DC 20009","1,595 sqft",2,2,$1.15m
999,"1420 N Capitol St Nw, Washington, DC 20002",0.05 acres,1,1,$1.50m
1000,"5008 Arkansas Ave Nw, Washington, DC 20011","3,300 sqft",5.5,8,$1m
1001,"4523 Q Ln Nw, Washington, DC 20007","3,750 sqft",6,7,$1.70m
1002,"1322 15th St Nw Apt 32, Washington, DC 20005",600 sqft,1,1,$420k
1003,"1325 Jefferson St Nw, Washington, DC 20011","2,866 sqft",4,4,$975k
1004,"1631 U St Se, Washington, DC 20020","2,716 sqft",3,3,$539k
1005,"1332 29th St Nw, Washington, DC 20007",0.07 acres,4,2,$2.30m
1006,"1607 28th St Nw, Washington, DC 20007","9,450 sqft",9.5,8,$18.00m
1007,"15 Grant Cir Nw #3, Washington, DC 20011","2,216 sqft",3.5,3,$925k
1008,"2500 Virginia Ave Nw #712-s, Washington, DC 20037","2,350 sqft",3,3,$3.25m
1009,"1440 Church St Nw Apt 402, Washington, DC 20005","1,130 sqft",2,2,$825k
1010,"2122 California St Nw #157, Washington, DC 20008","1,300 sqft",2,2,$699k
1011,"403 Jefferson St Ne, Washington, DC 20011","1,504 sqft",2,3,$485k
1012,"1619 R St Nw Apt Ll1, Washington, DC 20009",903 sqft,2,2,$539k
1013,"76 Sheridan St Ne, Washington, DC 20011","1,887 sqft",2.5,4,$558k
1014,"824 Varnum St Nw #1, Washington, DC 20011","1,040 sqft",2,2,$525k
1015,"1718 P St Nw Apt 502, Washington, DC 20036",795 sqft,1,1,$420k
1016,"6343 Utah Ave Nw, Washington, DC 20015","3,270 sqft",5,5,$1.25m
1017,"1608 Webster St Nw, Washington, DC 20011","2,465 sqft",4,3,$895k
1018,"5226 39th St Nw, Washington, DC 20015","9,101 sqft",6,7,$3.50m
1019,"4717 Colorado Ave Nw, Washington, DC 20011","3,904 sqft",4.5,4,$1.50m
1020,"1538 44th St Nw, Washington, DC 20007","2,450 sqft",4,4,$1.10m
1021,"1879 Channing St Ne, Washington, DC 20018","1,632 sqft",3.5,3,$500k
1022,"512 Quincy St Nw, Washington, DC 20011",0.04 acres,2,4,$650k
1023,"5007 Lee St Ne, Washington, DC 20019",622 sqft,1,2,$275k
1024,"1901 3rd St Nw #1, Washington, DC 20001","2,600 sqft",4,4,$1.60m
1025,"2301 N St Nw Apt 102, Washington, DC 20037",682 sqft,1,1,$450k
1026,"4632 Hanna Pl Se, Washington, DC 20019",896 sqft,2,2,$265k
1027,"1457 Park Rd Nw Apt 403, Washington, DC 20010",890 sqft,1,2,$419k
1028,"4000 Tunlaw Rd Nw Apt 930, Washington, DC 20007",950 sqft,1,2,$390k
1029,"3114 Dumbarton St Nw, Washington, DC 20007","2,320 sqft",2.5,4,$2.30m
1030,"1320 8th St Nw, Washington, DC 20001","1,319 sqft",3,2,$730k
1031,"5208 4th St Nw, Washington, DC 20011","1,310 sqft",2,3,$529k
1032,"1030 Park Rd Nw, Washington, DC 20010","1,100 sqft",N/A,N/A,$1.20m
1033,"5118 Queens Stroll Pl Se, Washington, DC 20019",660 sqft,5,6,$239k
1034,"Green St Se, Washington, DC 20020",0.05 acres,N/A,N/A,$180k
1035,"1725 Trinidad Ave Ne Apt 3, Washington, DC 20002",800 sqft,2,2,$395k
1036,"1344 Independence Ave Se, Washington, DC 20003","3,732 sqft",4,5,$1.15m
1037,"45 Madison St Nw, Washington, DC 20011","1,662 sqft",2.5,3,$482k
1038,"955 26th St Nw Apt 213, Washington, DC 20037",800 sqft,1,1,$465k
1039,"616 E St Nw Apt 652, Washington, DC 20004","1,214 sqft",3,2,$665k
1040,"1 Scott Cir Nw #212, Washington, DC 20036",495 sqft,1,1,$280k
1041,"1705 Euclid St Nw Apt 1, Washington, DC 20009",858 sqft,2,2,$579k
1042,"3354 Ely Pl Se, Washington, DC 20019","1,080 sqft",1,3,$300k
1043,"1242 Potomac St Nw, Washington, DC 20007","2,520 sqft",5,3,$2.99m
1044,"3925 Georgia Ave Nw, Washington, DC 20011",0.04 acres,1,2,$975k
1045,"626 Jefferson St Nw, Washington, DC 20011","1,512 sqft",2,4,$575k
1046,"1239 Vermont Ave Nw Apt 309, Washington, DC 20005",766 sqft,2,2,$450k
1047,"3914 New Hampshire Ave Nw, Washington, DC 20011","2,106 sqft",4,4,$850k
1048,"2810 Channing St Ne, Washington, DC 20018","2,826 sqft",2,3,$545k
1049,"621 A St Ne, Washington, DC 20002","4,681 sqft",4,4,$2.34m
1050,"1607 Fairlawn Ave Se, Washington, DC 20020","1,600 sqft",3,4,$495k
1051,"605 K St Ne Apt 2, Washington, DC 20002","1,164 sqft",2,2,$749k
1052,"614 Otis Pl Nw, Washington, DC 20010","1,400 sqft",3,3,$625k
1053,"611 Jefferson St Nw, Washington, DC 20011","1,400 sqft",1.5,4,$565k
1054,"330 16th St Se #2, Washington, DC 20003","1,547 sqft",3,2,$775k
1055,"2901 S Dakota Ave Ne, Washington, DC 20018","2,532 sqft",4,4,$699k
1056,"2555 Pennsylvania Ave Nw Apt 605, Washington, DC 20037",868 sqft,1,1,$599k
1057,"5012 45th St Nw, Washington, DC 20016","2,209 sqft",2.5,3,$899k
1058,"5035 Rockwood Pkwy Nw, Washington, DC 20016","3,899 sqft",5,4,$1.70m
1059,"6513 3rd St Nw, Washington, DC 20012","1,656 sqft",2,3,$775k
1060,"428 Peabody St Nw, Washington, DC 20011","1,808 sqft",2,3,$550k
1061,"6 Logan Cir Nw Apt 1, Washington, DC 20005","1,023 sqft",1,1,$575k
1062,"1225 13th St Nw Apt 406, Washington, DC 20005",636 sqft,1,1,$410k
1063,"15 V St Ne, Washington, DC 20002","2,605 sqft",N/A,N/A,$687k
1064,"145 12th St Se, Washington, DC 20003","2,040 sqft",4,3,$1.10m
1065,"3249 Newark St Nw, Washington, DC 20008",0.19 acres,6,7,$4.25m
1066,"6661 Barnaby St Nw, Washington, DC 20015","2,200 sqft",3,4,$900k
1067,"777 7th St Nw Apt 821, Washington, DC 20001",754 sqft,1,1,$419k
1068,"1217 Missouri Ave Nw, Washington, DC 20011","2,380 sqft",4,4,$725k
1069,"2937 Garfield Ter Nw, Washington, DC 20008","4,250 sqft",4,5,$2.00m
1070,"4000 Cathedral Ave Nw #334-335b, Washington, DC 20016","2,000 sqft",2,2,$735k
1071,"1323 Clifton St Nw Apt 34, Washington, DC 20009","1,052 sqft",2,2,$660k
1072,"1321 Fairmont St Nw Apt 303, Washington, DC 20009",425 sqft,1,1,$300k
1073,"730 11th St Ne Apt 203, Washington, DC 20002",715 sqft,2,2,$447k
1074,"811 Otis Pl Nw Apt 205, Washington, DC 20010",605 sqft,1,1,$369k
1075,"1125 12th St Nw Apt 32, Washington, DC 20005",508 sqft,1,1,$265k
1076,"1419 Trinidad Ave Ne, Washington, DC 20002","1,080 sqft",2,3,$555k
1077,"3012 Warder St Nw, Washington, DC 20001","1,785 sqft",4,2,$699k
1078,"1315 Queen St Ne, Washington, DC 20002",0.05 acres,2,3,$625k
1079,"804 Taylor St Nw #406, Washington, DC 20011",625 sqft,1,1,$329k
1080,"113 Bloomingdale Ct Nw, Washington, DC 20001","3,200 sqft",3,2,$1.50m
1081,"5021 Ivory Walters Ln Se, Washington, DC 20019","1,632 sqft",2.5,3,$385k
1082,"5301 13th St Nw, Washington, DC 20011","3,123 sqft",4.5,4,$980k
1083,"4201 Cathedral Ave Nw Apt 404w, Washington, DC 20016",803 sqft,1,1,$275k
1084,"816 Geranium St Nw, Washington, DC 20012","1,240 sqft",3.5,4,$600k
1085,"4601 Chesapeake St Nw, Washington, DC 20016","1,862 sqft",3,5,$1.10m
1086,"4425 19th Pl Ne, Washington, DC 20018","2,456 sqft",3,4,$625k
1087,"4940 Butterworth Pl Nw, Washington, DC 20016","2,015 sqft",3.5,5,$1.20m
1088,"1515 11th St Nw Apt 2-1, Washington, DC 20001","1,353 sqft",2.5,2,$975k
1089,"4000 Cathedral Ave Nw Apt 224b, Washington, DC 20016",920 sqft,1,1,$285k
1090,"5109 12th St Ne, Washington, DC 20011",0.08 acres,3,3,$600k
1091,"1391 Pennsylvania Ave Se Unit M07, Washington, DC 20003","1,029 sqft",2,2,$500k
1092,"4949 Sherier Pl Nw, Washington, DC 20016","5,800 sqft",5,6,$2.35m
1093,"4408 1st Pl Ne Apt 31a, Washington, DC 20011",607 sqft,1,1,$254k
1094,"2905 Arizona Ave Nw, Washington, DC 20016","2,300 sqft",4,5,$895k
1095,"1754 U St Nw Apt 3, Washington, DC 20009","1,279 sqft",2,3,$999k
1096,"1776 Verbena St Nw, Washington, DC 20012","2,646 sqft",3,4,$740k
1097,"18th Street Ne, Washington, DC 20018",0.09 acres,N/A,N/A,$310k
1098,"1200 23rd St Nw Apt 604, Washington, DC 20037","1,400 sqft",3,2,$595k
1099,"2406 3rd St Ne, Washington, DC 20002","1,020 sqft",1,3,$389k
1100,"4748 6th Pl Ne, Washington, DC 20017","2,056 sqft",3,3,$519k
1101,"3341 Massachusetts Ave Se, Washington, DC 20019",0.24 acres,4,5,$769k
1102,"1730 New Hampshire Ave Nw Apt 14, Washington, DC 20009",448 sqft,1,1,$400k
1103,"1338 Morris Rd Se, Washington, DC 20020",0.06 acres,3,4,$476k
1104,"4000 Cathedral Ave Nw Apt 245b, Washington, DC 20016",596 sqft,1,N/A,$193k
1105,"2001 16th St Nw Apt 703, Washington, DC 20009",850 sqft,1,2,$595k
1106,"440 L St Nw Unit 808, Washington, DC 20001",868 sqft,1,1,$525k
1107,"1001 L St Nw Apt 509, Washington, DC 20001",858 sqft,1,2,$500k
1108,"616 E St Nw Apt 309, Washington, DC 20004",737 sqft,1,1,$450k
1109,"4000 Tunlaw Rd Nw Apt 310, Washington, DC 20007",751 sqft,1,1,$285k
1110,"1307 35th St Nw, Washington, DC 20007","2,340 sqft",3,2,$1.95m
1111,"1421 1st St Nw, Washington, DC 20001","1,134 sqft",3,2,$786k
1112,"3049 Porter St Nw, Washington, DC 20008","4,455 sqft",4,5,$1.28m
1113,"3701 Connecticut Ave Nw Apt 321, Washington, DC 20008",510 sqft,1,N/A,$229k
1114,"3800 52nd St Nw, Washington, DC 20016","5,871 sqft",6,5,$2.30m
1115,"4609 Macarthur Blvd Nw Unit B, Washington, DC 20007","1,174 sqft",2.5,2,$648k
1116,"1300 Massachusetts Ave Nw Apt 501, Washington, DC 20005",645 sqft,1,1,$345k
1117,"2103 Huidekoper Pl Nw, Washington, DC 20007","1,403 sqft",4,6,$1.08m
1118,"213 9th St Se, Washington, DC 20003","1,950 sqft",3.5,3,$1.25m
1119,"2899 Chancellors Way Ne, Washington, DC 20017","1,308 sqft",2.5,3,$729k
1120,"800 4th St Sw Apt S808, Washington, DC 20024",608 sqft,1,1,$365k
1121,"1220 Holbrook St Ne, Washington, DC 20002","3,196 sqft",N/A,4,$600k
1122,"6006 Mclean Pl Ne, Washington, DC 20011","2,052 sqft",3.5,3,$615k
1123,"1317 Rhode Island Ave Nw Apt 202, Washington, DC 20005",636 sqft,1,1,$450k
1124,"2425 L St Nw Apt 629, Washington, DC 20037","1,065 sqft",2,2,$769k
1125,"1526 17th St Nw Apt 118, Washington, DC 20036",850 sqft,2,1,$425k
1126,"1311 Delaware Ave Sw Apt S741, Washington, DC 20024",686 sqft,1,1,$220k
1127,"354 M St Sw #354, Washington, DC 20024","1,730 sqft",2,2,$625k
1128,"1229 12th St Nw Apt 201, Washington, DC 20005","1,220 sqft",3,2,$768k
1129,"1331 Kenyon St Nw Apt 3, Washington, DC 20010","1,918 sqft",3,3,$900k
1130,"732 Lamont St Nw Apt 403, Washington, DC 20010","1,059 sqft",2,2,$539k
1131,"616 E St Nw Apt 512, Washington, DC 20004",808 sqft,1,1,$500k
1132,"1308 Clifton St Nw Apt 307, Washington, DC 20009",650 sqft,1,1,$400k
1133,"6014 New Hampshire Ave Ne, Washington, DC 20011","2,560 sqft",4,5,$840k
1134,"512 R St Nw, Washington, DC 20001","1,248 sqft",2.5,4,$639k
1135,"1661 Park Rd Nw Apt B3, Washington, DC 20010",490 sqft,1,1,$300k
1136,"1377 K St Se Apt 2, Washington, DC 20003","1,431 sqft",3,3,$649k
1137,"425 M St Nw Apt A, Washington, DC 20001",927 sqft,2,2,$575k
1138,"2020 12th St Nw Apt T13, Washington, DC 20009","1,109 sqft",2,2,$615k
1139,"6445 Luzon Ave Nw Apt 215, Washington, DC 20012",900 sqft,1,1,$188k
1140,"2811 Terrace Rd Se #429, Washington, DC 20020",700 sqft,1,2,$65k
1141,"1321 Fairmont St Nw Apt 403, Washington, DC 20009",465 sqft,1,1,$310k
1142,"1300 N St Nw Apt 303, Washington, DC 20005",648 sqft,1,1,$437k
1143,"2527 Q St Nw #b1, Washington, DC 20007",559 sqft,1,1,$350k
1144,"6119 14th St Nw, Washington, DC 20011","2,400 sqft",3,3,$775k
1145,"46 Rhode Island Ave Ne #2, Washington, DC 20002","1,700 sqft",2.5,3,$800k
1146,"1875 Mintwood Pl Nw Apt 36, Washington, DC 20009",600 sqft,1,N/A,$336k
1147,"3801 Rodman St Nw Apt B2, Washington, DC 20016","1,501 sqft",2,2,$595k
1148,"2665 M L K Jr Ave Se Apt 202, Washington, DC 20020",800 sqft,1,3,$150k
1149,"613 Hamlin St Ne Apt 9, Washington, DC 20017",502 sqft,1,1,$275k
1150,"1401 17th St Nw Apt 405, Washington, DC 20036",829 sqft,2,2,$675k
1151,"3109 Naylor Rd Se Apt B, Washington, DC 20020",673 sqft,1,1,$65k
1152,"2035 2nd St Nw Apt Gl02, Washington, DC 20001","1,123 sqft",2,2,$549k
1153,"1715 15th St Nw Apt D, Washington, DC 20009","1,100 sqft",N/A,2,$699k
1154,"1916 17th St Nw Apt 309, Washington, DC 20009",605 sqft,1,1,$442k
1155,"4425 River Rd Nw, Washington, DC 20016","1,980 sqft",4,5,$925k
1156,"5827 Dix St Ne, Washington, DC 20019",0.12 acres,N/A,N/A,$1.08m
1157,"1124 4th St Ne, Washington, DC 20002","2,052 sqft",4,4,$880k
1158,"4052 Fessenden St Nw, Washington, DC 20016","1,705 sqft",2,4,$900k
1159,"4000 Cathedral Ave Nw Apt 546b, Washington, DC 20016","1,150 sqft",1,1,$319k
1160,"1655 Harvard St Nw, Washington, DC 20009","2,900 sqft",3,4,$1.15m
1161,"126 13th St Se, Washington, DC 20003","2,310 sqft",4,4,$1.55m
1162,"1325 13th St Nw Apt 104, Washington, DC 20005",630 sqft,1,1,$453k
1163,"1840 Vernon St Nw Apt 104, Washington, DC 20009",617 sqft,1,2,$459k
1164,"716 718 Jackson St Ne #1, Washington, DC 20017",N/A,2,2,$512k
1165,"5337 Hayes St Ne, Washington, DC 20019",0.06 acres,2,3,$180k
1166,"5727 Chillum Pl Ne, Washington, DC 20011",0.05 acres,1,2,$380k
1167,"5720 Oregon Ave Nw, Washington, DC 20015","1,516 sqft",3,4,$825k
1168,"1422 Monroe St Nw, Washington, DC 20010","2,700 sqft",2.5,4,$960k
1169,"820 7th St Ne, Washington, DC 20002","2,110 sqft",3.5,4,$1.40m
1170,"4707 Connecticut Ave Nw Apt 111, Washington, DC 20008",737 sqft,1,1,$330k
1171,"710 Mississippi Ave Se, Washington, DC 20032","3,762 sqft",3,3,$346k
1172,"1223 5th St Nw, Washington, DC 20001",0.04 acres,5,5,$2.19m
1173,"1312 Massachusetts Ave Nw Apt 604, Washington, DC 20005",780 sqft,1,2,$475k
1174,"2852 Connecticut Ave Nw, Washington, DC 20008","2,700 sqft",N/A,N/A,$4.65m
1175,"3600 Massachusetts Ave Nw, Washington, DC 20007","5,508 sqft",5,5,$3.45m
1176,"22 Rhode Island Ave Nw #1, Washington, DC 20001","1,600 sqft",3.5,3,$675k
1177,"1449 N St Nw Apt 2, Washington, DC 20005","1,100 sqft",2,1,$775k
1178,"1830 17th St Nw Apt 707, Washington, DC 20009","1,362 sqft",3,3,$1m
1179,"1310 Q St Nw #4, Washington, DC 20009","1,775 sqft",3,3,$1.30m
1180,"3101 Chestnut St Ne, Washington, DC 20018","2,540 sqft",5,5,$729k
1181,"1461 S St Nw, Washington, DC 20009","4,062 sqft",6,6,$2.98m
1182,"429 Emerson St Nw, Washington, DC 20011","2,320 sqft",2.5,3,$690k
1183,"2510 Cliffbourne Pl Nw Apt 11, Washington, DC 20009",682 sqft,1,2,$349k
1184,"1560 41st St Se, Washington, DC 20020","1,024 sqft",2,3,$315k
1185,"2555 Pennsylvania Ave Nw Apt 916, Washington, DC 20037",824 sqft,1,1,$520k
1186,"923 Shepherd St Nw #a, Washington, DC 20011","1,870 sqft",3,3,$750k
1187,"2008 Fort Davis St Se Apt 302, Washington, DC 20020",651 sqft,1,2,$160k
1188,"721 Girard St Nw, Washington, DC 20001","1,384 sqft",2,3,$682k
1189,"2207 Rand Pl Ne, Washington, DC 20002","1,534 sqft",2,7,$482k
1190,"240 M St Sw #e612, Washington, DC 20024",463 sqft,1,N/A,$250k
1191,"1026 16th St Nw Apt 805, Washington, DC 20036","1,700 sqft",3,3,$1.25m
1192,"3303 Water St Nw Unit 7f, Washington, DC 20007","2,043 sqft",3,2,$2.85m
1193,"1123 6th St Nw #1, Washington, DC 20001",880 sqft,2,2,$489k
1194,"3901 Cathedral Ave Nw #116, Washington, DC 20016",716 sqft,1,1,$256k
1195,"4507 Arkansas Ave Nw, Washington, DC 20011","1,368 sqft",4,4,$875k
1196,"4507 Klingle St Nw, Washington, DC 20016","3,069 sqft",4.5,4,$2.00m
1197,"5206 Kansas Ave Nw, Washington, DC 20011","1,875 sqft",3,4,$689k
1198,"1001 26th St Nw Apt 304, Washington, DC 20037",808 sqft,1,2,$450k
1199,"5229 Connecticut Ave Nw Unit 309, Washington, DC 20015",857 sqft,1,2,$400k
1200,"1372 C St Ne, Washington, DC 20002",0.02 acres,1,2,$580k
1201,"6609 1st St Nw, Washington, DC 20012","4,860 sqft",4,6,$950k
1202,"734 Marietta Pl Nw, Washington, DC 20011","2,088 sqft",4,4,$642k
1203,"4607 Clay St Ne, Washington, DC 20019","2,352 sqft",3,5,$475k
1204,"700 31st St Se, Washington, DC 20019","2,436 sqft",N/A,N/A,$550k
1205,"3000 Minnesota Ave Se, Washington, DC 20019",0.05 acres,2,2,$370k
1206,"1447 22nd St Se, Washington, DC 20020","1,880 sqft",N/A,N/A,$575k
1207,"4616 4th St Nw, Washington, DC 20011","1,800 sqft",4,3,$823k
1208,"1620 40th St Se, Washington, DC 20020","1,024 sqft",1,3,$315k
1209,"3005 10th St Ne, Washington, DC 20017","1,238 sqft",1.5,2,$525k
1210,"4603 Illinois Ave Nw, Washington, DC 20011","3,036 sqft",5,5,$1.10m
1211,"1519 Monroe St Nw, Washington, DC 20010","3,692 sqft",N/A,6,$995k
1212,"314 12th St Ne, Washington, DC 20002","3,042 sqft",3.5,5,$1.70m
1213,"4740 Connecticut Ave Nw Apt 713, Washington, DC 20008","1,100 sqft",1,2,$450k
1214,"2630 Adams Mill Rd Nw Apt 204, Washington, DC 20009",358 sqft,1,N/A,$250k
1215,"2501 Calvert St Nw Apt 110, Washington, DC 20008",566 sqft,1,1,$315k
1216,"560 N St Sw Apt N609, Washington, DC 20024",1 sqft,1,1,$310k
1217,"3980 Langley Ct Nw Apt A607, Washington, DC 20016","1,322 sqft",2.5,2,$590k
1218,"3018 Arizona Ave Nw, Washington, DC 20016","3,130 sqft",3,4,$1.28m
1219,"2032 Belmont Rd Nw Apt 306, Washington, DC 20009",823 sqft,1,1,$379k
1220,"1824 S St Nw Apt 101, Washington, DC 20009",746 sqft,1,1,$449k
1221,"730 24th St Nw Apt 817, Washington, DC 20037",525 sqft,1,N/A,$248k
1222,"4114 Davis Pl Nw Apt 106, Washington, DC 20007",706 sqft,1,1,$340k
1223,"1401 Church St Nw Apt 519, Washington, DC 20005","1,128 sqft",2,2,$1.03m
1224,"4000 Cathedral Ave Nw Apt 601b, Washington, DC 20016","1,600 sqft",2,2,$649k
1225,"925 H St Nw Apt 613, Washington, DC 20001",949 sqft,1,1,$825k
1226,"2201 L St Nw Apt 511, Washington, DC 20037",475 sqft,1,N/A,$315k
1227,"522 21st St Nw Apt 301, Washington, DC 20006",685 sqft,1,1,$320k
1228,"2339 40th Pl S #001, Washington, DC 20007",600 sqft,1,1,$299k
1229,"1221 Oates St Ne #a, Washington, DC 20002",858 sqft,2,2,$440k
1230,"843 Hr Dr Se, Washington, DC 20032",0.03 acres,4,3,$360k
1231,"2806 Sherman Ave Nw #a, Washington, DC 20001","1,304 sqft",2.5,2,$760k
1232,"3251 Prospect St Nw Apt 310, Washington, DC 20007",866 sqft,1,1,$649k
1233,"637 3rd St Ne Apt 305, Washington, DC 20002",381 sqft,1,N/A,$274k
1234,"2738 Mckinley St Nw, Washington, DC 20015","4,520 sqft",5.5,4,$1.60m
1235,"1221 Oates St Ne #b, Washington, DC 20002",854 sqft,2,2,$460k
1236,"4532 Eads St Ne, Washington, DC 20019","1,216 sqft",2,2,$269k
1237,"215 Warren St Ne #a, Washington, DC 20002","1,508 sqft",3,3,$755k
1238,"4106 14th St Nw Apt 1a, Washington, DC 20011","1,450 sqft",3,3,$630k
1239,"600 E Capitol St Ne, Washington, DC 20003","2,223 sqft",2,4,$1.55m
1240,"2826 Arizona Ave Nw, Washington, DC 20016","4,555 sqft",5,5,$1.55m
1241,"4041 7th St Ne Apt 4, Washington, DC 20017","1,050 sqft",2,3,$600k
1242,"2525 P St Nw, Washington, DC 20007","2,790 sqft",3,3,$2.25m
1243,"1409 29th St Nw, Washington, DC 20007",0.07 acres,4,4,$4.50m
1244,"1260 21st St Nw Apt 104, Washington, DC 20036",630 sqft,1,1,$325k
1245,"3020 R St Nw Apt 3, Washington, DC 20007",959 sqft,1,2,$769k
1246,"317 14th St Ne, Washington, DC 20002","1,216 sqft",1.5,3,$1.40m
1247,"5035 Glenbrook Rd Nw, Washington, DC 20016","3,015 sqft",5,4,$1.60m
1248,"3310 Dent Pl Nw, Washington, DC 20007","2,300 sqft",4,3,$1.60m
1249,"1308 29th St Nw, Washington, DC 20007","4,250 sqft",5.5,6,$3.40m
1250,"6625 Piney Branch Rd Nw, Washington, DC 20012","1,109 sqft",2,3,$697k
1251,"1242 I St Ne, Washington, DC 20002","2,280 sqft",4,3,$1.30m
1252,"922 24th St Nw Apt 716, Washington, DC 20037",460 sqft,1,N/A,$259k
1253,"1644 W St Se, Washington, DC 20020",0.11 acres,N/A,N/A,$4.20m
1254,"1920 S St Nw Apt 101, Washington, DC 20009",588 sqft,1,1,$365k
1255,"3101 New Mexico Ave Nw Apt 846, Washington, DC 20016","1,173 sqft",1,1,$479k
1256,"4433 19th Pl Ne, Washington, DC 20018","1,702 sqft",2,4,$649k
1257,"2022 Flagler Pl Nw Apt Fl02, Washington, DC 20001",720 sqft,1,1,$399k
1258,"1300 Massachusetts Ave Nw Apt 401, Washington, DC 20005",645 sqft,1,1,$389k
1259,"3883 Connecticut Ave Nw Apt 317, Washington, DC 20008","1,188 sqft",2,2,$720k
1260,"3690 38th St Nw Apt B236, Washington, DC 20016",863 sqft,2,1,$389k
1261,"2315 37th St Nw, Washington, DC 20007",0.06 acres,3,3,$949k
1262,"2002 Massachusetts Ave Nw Ste 4, Washington, DC 20036","2,400 sqft",4,3,$2.40m
1263,"2426 Observatory Pl Nw, Washington, DC 20007","2,247 sqft",3,4,$1.04m
1264,"3794 Martin Luther King Jr Ave Se Apt 304, Washington, DC 20032",884 sqft,1,2,$325k
1265,"309 Peabody St Ne, Washington, DC 20011","1,248 sqft",2,3,$525k
1266,"314 V St Ne Apt 104, Washington, DC 20002",414 sqft,1,1,$225k
1267,"3209 Adams Mill Rd Nw, Washington, DC 20010","2,508 sqft",2.5,4,$975k
1268,"1612 Portal Dr Nw, Washington, DC 20012",0.2 acres,4,3,$929k
1269,"1713 Verbena St Nw, Washington, DC 20012","1,640 sqft",3,4,$799k
1270,"3883 Connecticut Ave Nw Apt 216, Washington, DC 20008",713 sqft,1,1,$399k
1271,"915 E St Nw Apt 1007, Washington, DC 20004",668 sqft,1,1,$450k
1272,"2328 Champlain St Nw Apt 325, Washington, DC 20009",746 sqft,2,1,$565k
1273,"1004 13th St Se, Washington, DC 20003","1,600 sqft",2.5,3,$745k
1274,"2705 Poplar St Nw, Washington, DC 20007","1,320 sqft",2,3,$1.20m
1275,"1514 17th St Nw Apt 303, Washington, DC 20036",436 sqft,1,N/A,$250k
1276,"2219 Hartford St Se, Washington, DC 20020",832 sqft,1,2,$181k
1277,"2939 Van Ness St Nw Apt 619, Washington, DC 20008",786 sqft,1,1,$290k
1278,"3532 13th St Nw Apt 2, Washington, DC 20010","1,726 sqft",3,3,$799k
1279,"777 7th St Nw Apt 312, Washington, DC 20001",662 sqft,1,1,$400k
1280,"1632 30th St Nw Apt 1, Washington, DC 20007","1,055 sqft",3,2,$749k
1281,"707 Kentucky Ave Se, Washington, DC 20003","1,818 sqft",4,3,$849k
1282,"220 Gallatin St Nw, Washington, DC 20011","1,860 sqft",2,3,$600k
1283,"2750 14th St Nw Apt 405, Washington, DC 20009",973 sqft,2,2,$585k
1284,"1354 Queen St Ne #202, Washington, DC 20002",724 sqft,2,2,$340k
1285,"245 15th St Se Apt 403, Washington, DC 20003","1,480 sqft",3,2,$750k
1286,"1301 20th St Nw Apt 201, Washington, DC 20036",437 sqft,1,N/A,$275k
1287,"5337 5th St Nw, Washington, DC 20011","1,176 sqft",N/A,2,$780k
1288,"1628 11th St Nw Unit 109, Washington, DC 20001","1,704 sqft",3,3,$1.30m
1289,"3030 K St Nw Apt 217, Washington, DC 20007","3,700 sqft",4,2,$7.20m
1290,"6 Browns Ct Se, Washington, DC 20003",624 sqft,1,2,$600k
1291,"1440 N St Nw Apt 615, Washington, DC 20005",411 sqft,1,N/A,$259k
1292,"3100 Wisconsin Ave Nw Apt 204, Washington, DC 20016",330 sqft,1,N/A,$215k
1293,"2125 14th St Nw Apt 229, Washington, DC 20009",542 sqft,1,1,$393k
1294,"1836 24th St Nw, Washington, DC 20008","5,168 sqft",5.5,7,$4.20m
1295,"503 15th St Se, Washington, DC 20003","1,260 sqft",1.5,2,$749k
1296,"1612 5th St Nw #2, Washington, DC 20001","1,746 sqft",2.5,2,$799k
1297,"2725 Ordway St Nw Apt 6, Washington, DC 20008","1,141 sqft",1,1,$500k
