,Address,Area,Baths,Beds,Price
155,"811 4th St Nw Unit 215, Washington, DC 20001",692 sqft,1,1,$460k
156,"33 Bryant St Nw #2, Washington, DC 20001","1,850 sqft",3,3,$929k
157,"4204 48th Pl Nw, Washington, DC 20016",0.08 acres,6,4,$1.20m
158,"3033 New Mexico Ave Nw Apt 205, Washington, DC 20016",703 sqft,1,1,$265k
159,"3817 Davis Pl Nw Apt 2, Washington, DC 20007",533 sqft,1,1,$295k
160,"1330 New Hampshire Ave Nw Apt 211, Washington, DC 20036",504 sqft,1,1,$320k
161,"1115 12th St Nw Apt 605, Washington, DC 20005",700 sqft,1,1,$409k
162,"2126 Connecticut Ave Nw #58, Washington, DC 20008",980 sqft,1,2,$640k
163,"1 Hawthorne Ct Ne #1, Washington, DC 20017","1,260 sqft",3,2,$370k
164,"437 New York Ave Nw Apt 708, Washington, DC 20001",747 sqft,1,1,$490k
165,"1000 Taussig Pl Ne, Washington, DC 20017","2,176 sqft",4,3,$949k
166,"3238 13th St Nw Apt 3, Washington, DC 20010",753 sqft,1,1,$399k
167,"217 Kennedy St Nw, Washington, DC 20011",0.03 acres,3,2,$580k
168,"1006 3rd Pl Se, Washington, DC 20003","2,125 sqft",4,4,$1.25m
169,"7080 31st St Nw, Washington, DC 20015","5,700 sqft",4,4,$1.40m
170,"3816 E Capitol St Ne, Washington, DC 20019","1,368 sqft",1,3,$275k
171,"7101 Chestnut St Nw, Washington, DC 20012","1,792 sqft",2,4,$799k
172,"5015 V St Nw, Washington, DC 20007","1,600 sqft",3,2,$825k
173,"939 Longfellow St Nw Apt 207, Washington, DC 20011",620 sqft,1,1,$210k
174,"2187 Half Moon Pl Ne, Washington, DC 20018","1,569 sqft",3,3,$560k
175,"2111 Wisconsin Ave Nw Apt 113, Washington, DC 20007",986 sqft,2,2,$535k
176,"302 63rd St Ne, Washington, DC 20019","1,170 sqft",2,3,$395k
177,"910 New Hampshire Ave Nw, Washington, DC 20037","2,093 sqft",3,4,$1.40m
178,"3613 Ingomar Pl Nw, Washington, DC 20015","1,640 sqft",2,3,$850k
179,"5439 Sherier Pl Nw, Washington, DC 20016","1,900 sqft",3,4,$960k
180,"1211 50th Pl Ne, Washington, DC 20019","1,726 sqft",2,4,$400k
181,"1118 Holbrook St Ne, Washington, DC 20002","1,848 sqft",4,4,$779k
182,"1219 Pleasant St Se, Washington, DC 20020","1,258 sqft",2,3,$339k
183,"718 Jackson St Ne Apt 2, Washington, DC 20017",N/A,2,2,$550k
184,"717 Brandywine St Se Apt 101, Washington, DC 20032",703 sqft,1,2,$116k
185,"210 Varnum St Nw, Washington, DC 20011","1,080 sqft",4,4,$730k
